R1,R2,R3,R4,RSW1,RSW2,H1,H2,H3,H4,HSW1,HSW2,D1,D2,D3,D4,DSW1,DSW2,Kingdom,Phylum,Species
0.02,0.01,0.06,0.04,0.12,0.04,0.12,0.11,0.15,0.1,0.12,0.42,0.09,0.11,0.17,0.07,1.02,0.32,Bacteria,Bacteroidota,Reichenbachiella
0.01,0,0,0.02,0.01,0.02,0.07,0.03,0.03,0.07,0.08,0.44,0.15,0.06,0.02,0.04,1.87,0.17,Bacteria,Verrucomicrobiota,Haloferula
0.66,0.36,0.57,0.45,0.3,0.21,0.05,0.04,0.08,0.07,0.11,0.04,0.01,0.01,0,0,0.02,0,Bacteria,Bdellovibrionota,Bacteriovoracaceae
0.2,0.19,0.07,0.12,0.17,0.17,0.04,0.01,0.01,0.05,0.05,0.04,0.39,0.2,0.43,0.7,0.01,0.11,Bacteria,Proteobacteria,Rhodospirillales
0.23,0.25,0.09,0.14,0.27,0.29,0.04,0,0.01,0.02,0.02,0.02,0.34,0.18,0.38,0.41,0.1,0.13,Bacteria,Bdellovibrionota,Peredibacter
0.26,0.19,0.04,0.21,0.31,0.27,0.18,0.06,0.06,0.26,0.19,0.1,0.18,0.07,0.23,0.14,0.06,0.09,Bacteria,Patescibacteria,Candidatus Peregrinibacteria
0.16,0.15,0.04,0.22,0.35,0.3,0.29,0.17,0.17,0.32,0.31,0.06,0.02,0.06,0.01,0.07,0.06,0.07,Bacteria,Proteobacteria,Methyloligellaceae
0.03,0.03,0.04,0.07,0.04,0.05,0.29,0.1,0.22,0.65,0.3,0.44,0.14,0.03,0.12,0.05,0.13,0.05,Bacteria,Cyanobacteria,Chloroplast
0.15,0.16,0.05,0.09,0.24,0.18,0.38,0.13,0.18,0.29,0.27,0.14,0.11,0.17,0.06,0.05,0.09,0.03,Bacteria,Bacteroidota,NS11-12 marine group
0.15,0.16,0.06,0.08,0.15,0.26,0.1,0.18,0.1,0.08,0.1,0.23,0.22,0.18,0.2,0.08,0.22,0.21,Bacteria,Proteobacteria,Pseudomonadales
0.01,0.01,0,0,0.02,0,0,0,0,0,0,0,0.71,0.61,0.37,0.35,0.09,0.54,Bacteria,Proteobacteria,Pseudoteredinibacter
0.17,0.2,0.75,0.08,0.24,0.2,0.17,0.46,0.09,0.1,0.15,0.06,0.01,0.01,0.01,0,0,0.01,Bacteria,Firmicutes,Lachnospiraceae
0.07,0.04,0.1,0.08,0.05,0.01,0.35,0.32,0.47,0.42,0.46,0.12,0,0.06,0.03,0.02,0.06,0.02,Bacteria,Bacteroidota,Draconibacterium
0.2,0.46,0.21,0.29,0.4,0.23,0.12,0.07,0.1,0.05,0.14,0.07,0.06,0.08,0.05,0.05,0.02,0.07,Bacteria,Proteobacteria,Litoreibacter
0.26,0.27,0.1,0.23,0.5,0.44,0.14,0.04,0.1,0.15,0.15,0.14,0.01,0.01,0.01,0.01,0.04,0.01,Bacteria,Proteobacteria,Arenicella
